WeatherPy_Database,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
387,Dhidhdhoo,MV,6.8833,73.1,81.36,78,92,16.73,overcast clouds
388,Yumen,CN,40.2833,97.2,43.47,72,46,7.67,scattered clouds
389,Tomatlan,MX,19.9333,-105.25,84.94,67,45,3.06,scattered clouds
390,Lampa,CL,-33.2833,-70.9,65.77,62,75,5.75,broken clouds
391,Cotonou,BJ,6.3654,2.4183,84.18,74,40,16.11,scattered clouds
392,Zaraza,VE,9.3503,-65.3245,85.37,75,95,4.61,overcast clouds
393,Kununurra,AU,-15.7667,128.7333,78.78,78,100,1.14,overcast clouds
394,Anloga,GH,5.7947,0.8973,79.41,82,68,14.05,broken clouds
395,Hervey Bay,AU,-25.2986,152.8535,66.02,77,100,11.01,overcast clouds
396,Ramsgate,GB,51.3358,1.4155,61.66,68,92,7.0,overcast clouds
397,Mahibadhoo,MV,3.7833,72.9667,81.86,78,93,17.11,overcast clouds
398,Vieste,IT,41.8825,16.175,65.84,64,59,2.06,broken clouds
399,Ketchikan,US,55.3422,-131.6461,55.87,94,100,5.75,light rain
400,Sinnamary,GF,5.3833,-52.95,86.16,62,21,12.5,few clouds
401,Concarneau,FR,47.875,-3.9225,63.82,71,60,15.66,broken clouds
402,Edd,ER,13.9297,41.6925,89.47,64,52,11.74,broken clouds
403,Egvekinot,RU,66.3167,-179.1667,33.87,100,100,19.01,snow
404,Ko Samui,TH,9.5357,99.9357,81.54,77,100,11.52,overcast clouds
405,Zhangjiakou,CN,40.81,114.8794,40.89,22,82,2.55,broken clouds
406,Prince George,CA,53.9166,-122.753,47.64,93,75,6.91,broken clouds
407,Porto Walter,BR,-8.2686,-72.7439,98.67,32,66,4.92,broken clouds
408,Tarabuco,BO,-19.1667,-64.9167,69.64,9,0,12.01,clear sky
409,Mareeba,AU,-17.0,145.4333,68.72,89,50,2.86,scattered clouds
410,Sosenskiy,RU,54.059,35.9623,44.28,92,98,8.48,overcast clouds
411,Atambua,ID,-9.1061,124.8925,74.62,87,77,3.49,broken clouds
412,Tessalit,ML,20.1986,1.0114,101.53,11,35,7.05,scattered clouds
413,Asau,RO,46.4333,26.4,52.72,71,99,5.26,overcast clouds
414,Pemangkat,ID,1.1667,108.9667,77.63,86,100,3.06,overcast clouds
415,Ontario,US,34.0633,-117.6509,93.38,66,0,0.0,mist
416,Kirkwall,GB,58.9848,-2.9587,53.65,62,20,21.85,few clouds
417,Muisne,EC,0.6,-80.0333,79.11,70,79,11.7,broken clouds
418,Camacha,PT,33.0833,-16.3333,72.82,60,20,13.8,few clouds
419,Nemuro,JP,43.3236,145.575,52.56,62,100,2.15,overcast clouds
420,Wick,GB,58.4333,-3.0833,53.65,58,20,13.8,few clouds
421,Lewiston,US,44.1003,-70.2148,62.02,76,100,10.36,haze
